Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/2192,CARITAS SIU TONG CAMP,"Lai Chi Chong,Tolo Harbour, Sai Kung,New Territories.",明愛小塘營,新界西貢吐露港荔枝莊,2328 2338,2981 8554,camp@caritas.org.hk
H/2193,CHINESE YMCA WU KWAI SHA YOUTH VILLAGE,"(STTL 366 Ma On Shan Wu Kwai Sha),2 On Chun Street, Sha Tin,New Territories.",烏溪沙青年新村,沙田馬鞍山烏溪沙366地段鞍駿街2號,2642 9420,2640 1033,wkscamp@ymca.org.hk
H/2194,HIGH ROCK CHRISTIAN CAMP,"102 Sha Tin Tau Village,Sha Tin, New Territories.",基督教靈基營,新界沙田沙田頭村102號,2691 1483,2697 2169,shrc@stewards.org.hk
H/2195,TUNG TSZ SCOUT CENTRE,"100 Tung Tsz,Ting Kok Road,Tai Po, New Territories.",洞梓童軍中心,新界大埔汀角路洞梓100號,2665 8082,2666 6191,ttz@scout.org.hk
H/2196,PAK SHA WAN TAM WAH CHING SEA ACTIVITY CENTRE,"600 Hiram's Highway,Pak Sha Wan,Sai Kung, New Territories.",白沙灣譚華正海上活動中心,新界西貢白沙灣西貢公路600號,2719 8979,2358 2177,psw@scout.org.hk
H/2200,JOCKEY CLUB PHAB CAMP,"Jockey Club PHAB Camp,75 Pok Fu Lam Reservoir Road,Pok Fu Lam, Hong Kong.",賽馬會傷健營,香港薄扶林薄扶林水塘道75號賽馬會傷健營,2551 4209,2550 2384,jcpc@hkphab.org.hk
H/2202,TAI TAM SCOUT CENTRE,"RBL 873,Tai Tam Reservoir Road,Hong Kong.",大潭童軍中心,香港大潭水塘道873地段,2813 8150,2813 7391,ttm@scout.org.hk
H/2203,HONG KONG BAPTIST ASSEMBLY,"D.D. 77 Lot 1551 R.P,Ping Che Road,Fanling, New Territories.",香港浸會園,"新界粉嶺坪輋路77約, 1551地段的餘段",2674 0620,2659 0181,info@camphkba.org
H/2215,PO LEUNG KUK JOCKEY CLUB PAK TAM CHUNG HOLIDAY CAMP,"D.D.257 Lot 675,Sai Kung, New Territories.",保良局賽馬會北潭涌度假營,"新界西貢約257, 地段 675",2792 4302,2792 0917,ptc@poleungkuk.org.hk
H/2222,LIONS - YMCA JUNK BAY YOUTH CAMP,"47 Po Lam Road South,Sai Kung,New Territories.",獅子會-青年會將軍澳青年營,新界西貢47 Po Lam Road South,2702 7292,2701 9989,jbcamp@ymca.org.hk
H/2241,"SILKA SEAVIEW HOTEL, HONG KONG","268 Shanghai Street,Yau Ma Tei, Kowloon.",香港海景絲麗酒店,九龍油麻地上海街268號,2782 0882,2781 8800,info.seaview@silkahotels.com
H/2247,THE SOUTH CHINA HOTEL,"67-75 Java Road,North Point,Hong Kong.",粵華酒店,香港北角渣華道67-75號,2503 1168,2570 9067,sch@netvigator.com/info@southchinahotel.com.hk
H/2252,ROYAL INN,"Flat D7, Block D,5/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",ROYAL INN,九龍尖沙咀彌敦道40號重慶大廈D座5字樓D7室,2336 2121,2369 7680,royalplaza5@hotmail.com
H/2297,GOLDEN ISLAND GUESTHOUSE LIMITED,"Flat 1, 7/F, Alhambra Building,385 Nathan Road,Yau Ma Tei, Kowloon.",金島賓館有限公司,九龍油麻地彌敦道385號平安大樓7字樓1室,2783 7952,2710 8821,
H/2311,1ST HOMESTAY - HK TAIWAN HOSTEL,"Flat A5, Block A,3/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",到此一棧 - 香港台灣青年背包旅館,九龍尖沙咀彌敦道40號重慶大廈A座3字樓A5室,9619 5771,,
H/2324,B.P. INTERNATIONAL HOUSE,"Hong Kong Scout Centre, 8 Austin Road,Tsim Sha Tsui, Kowloon. Pt G/F, Entry;Pt 12/F, Mechanical Floor; 13/F, Offices;14/F-25/F, Guest Rooms & Roof",龍堡國際賓館,九龍尖沙咀柯士甸道8號香港童軍中心地下(部份)、12字樓(部份)、13、14-25字樓&天台,2376 1111,2376 1333,enquiry@bpih.com.hk
H/2325,KAM SHING HOTEL,"1/F, 173 Tung Choi Street,Mong Kok,Kowloon.",金城賓館,九龍旺角通菜街173號1字樓,2392 3208,,
H/2329,BANDUNG GUEST HOUSE,"Flat A15, Block A,12/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",萬隆旅舍,九龍尖沙咀彌敦道58號美麗都大廈A座12字樓A15室,2311 8807,2311 6669,mhlhotel6688@gmail.com
H/2339,HONG KONG TAI SAN GUEST HOUSE,"Flat B1, 15/F-16/F, Burlington House,92-94 Nathan Road, Tsim Sha Tsui, Kowloon.",香港泰山賓館,九龍尖沙咀彌敦道92-94號華敦大廈15 & 16字樓B1室,2739 1673,2311 2252,hktaisan@gmail.com
H/2357,GRAND GUEST HOUSE,"Flat B1-B2, Block B,9/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",格蘭賓館,九龍尖沙咀彌敦道40號重慶大廈B座9字樓B1-B2室,6112 3803,,
H/2370,DRAGON INTERNATIONAL TRAVEL SERVICE CENTRE,"Flat B5, 3/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",龍滙國際遊客服務中心,九龍尖沙咀彌敦道40號重慶大廈B座3字樓B5室,2368 2007,2724 2841,dragoninn1988@gmail.com
H/2386,CHUNG MEI TRAVEL TRADING COMPANY,"Flat B, 7/F, Cumberland House,227 Nathan Road,Jordan, Kowloon.",中美旅遊貿易公司,九龍佐敦彌敦道227號金百龍大廈7字樓B室,2366 7929,,ckyu338@yahoo.com.hk
H/2387,SUN YING GUEST HOUSE,"Flat A1, Block A,8/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新英賓館,九龍尖沙咀彌敦道40號重慶大廈A座8字樓A1室,2724 0426,2724 5071,
H/2395,JETVAN TRAVELLER'S HOUSE,"Flat A, 4/F, Fairview Mansion,51 Paterson Street,Causeway Bay, Hong Kong.",華景賓館,香港銅鑼灣百德新街51號華爾大廈4字樓A室,2890 8133,,jetvanhus@yahoo.com
H/2399,NEW WASHINGTON GUEST HOUSE,"Flat B1-B2, Block B,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",NEW WASHINGTON GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈B座13字樓B1-B2室,9232 1091,,
H/2405,HOI LAI GUEST HOUSE,"Flat A&B, 1/F, 524-526 Castle Peak Road,Cheung Sha Wan, Kowloon.",海麗賓館,九龍長沙灣青山道524-526號1字樓A&B室,2371 2694,,
H/2407,KOWLOON HOSTEL,"Flat 715, 7/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",香港駿豪賓館,九龍旺角亞皆老街83號先施大廈7字樓715室,9347 4767,,
H/2416,WINFULL COMPANY,"Flat 1, Block A, 9/F,Empire Apartments, 293-299 King's Road,North Point, Hong Kong.",永富旅館,香港北角英皇道293-299號璇宮大廈9字樓A座1室,2571 9818,2571 3051,lilaikuenaxa@yahoo.com.hk
H/2417,ASIA TRAVEL HOUSE,"Flat 6, 5/F, Alhambra Building,385 Nathan Road,Yau Ma Tei, Kowloon.",亞洲旅遊賓館,九龍油麻地彌敦道385號平安大樓5字樓6室,2770 8300,2332 5975,asiatravelhouse@netvigator.com
H/2433,MAN LEE TAK GUEST HOUSE,"Flat A1, Block A,6/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",萬利達旅館,九龍尖沙咀彌敦道58號美麗都大廈A座6字樓A1室,9288 1016,,858094855@qq.com
H/2435,LYTON TOURIST LODGE ,"1/F, Lyton Building,32 Mody Road, Tsim Sha Tsui,Kowloon.",LYTON TOURIST LODGE ,九龍尖沙咀麼地道32號麗東大廈1字樓,9235 0612,,jumby2000@gmail.com
H/2436,WING HING LOK TRAVEL TRADING COMPANY,"Flat A5, Block A, 8/F, Kingston Building,2&4 Kingston Street,Causeway Bay, Hong Kong.",永興樂旅運貿易公司,香港銅纙灣京士頓街2&4號 京士頓大廈A座8字樓A5室,2882 9642,,
H/2441,ASIA TOURIST HOUSE,"Flat B, 8/F, Fook Kiu Mansion,34-36A Cameron Road,Tsim Sha Tsui, Kowloon.",亞洲旅店,九龍尖沙咀金馬倫道34-36A號福僑大廈8字樓B室,,2367 2284,starguesthouse@gmail.com
H/2458,APOLLO GUEST HOUSE,"Flat A2, 12/F, Block A,Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",阿波羅賓館,九龍尖沙咀彌敦道58號美麗都大廈A座12字樓A2室,2369 6669,2311 5260,laucosmiegh@gmail.com
H/2461,NEW SHANGHAI GUEST HOUSE,"Flat D2, Block D,16/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新上海招待所,九龍尖沙咀彌敦道40號重慶大廈D座16字樓D2室,2311 2515,,
H/2462,ROYAL CAPITAL HOTEL,"1/F, Luen Tak Building,40A-42A Jordan Road,Jordan, Kowloon.",皇都賓館,九龍佐敦佐敦道40A-42A聯德大廈1字樓,2730 7988,,
H/2468,WAI LEE GUEST HOUSE,"Flat A5, Block A,14/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",威利賓館,九龍尖沙咀彌敦道58號美麗都大廈A座14字樓A5室,2311 8807,2311 6669,
H/2470,CAPITAL HOTEL,"1/F, 232 Sha Tsui Road,Tsuen Wan, New Territories.",京都酒店,新界荃灣沙咀道232號1字樓,2492 2797,,
H/2477,HITTON INN,"Flat H, 3/F, New Lucky House15 Jordan Road, Jordan,Kowloon.",喜利酒店,九龍佐敦佐敦道15號華豐大廈3字樓H室,9455 4576,3107 9123,571813152@qq.com
H/2480,PAY-LESS GUEST HOUSE,"Flat A2, 7/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",百利賓館,九龍尖沙咀彌敦道40號重慶大廈A座7字樓A2室,6644 3016/3596 9533,,paylessa2@gmail.com
H/2524,RIVERSIDE HOLIDAY INN,"DD 328, Lot 1919,172 Tong Fuk Village,Lantau Island.",翠河渡假屋,大嶼山塘福村172號328約1919地段,9481 5086,,
H/2525,TAO YUEN HOUSE,"1/F, 55-57 Yeung Uk Road,Tsuen Wan, New Territories.",桃源賓館,新界荃灣楊屋道55-57號1字樓,2405 0482,,
H/2532,YAN YAN GUEST HOUSE,"Flat E1, Block E,8/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",欣欣賓館,九龍尖沙咀彌敦道40號重慶大廈E座8字樓E1室,2366 8930,,kslau2007@gmail.com
H/2535,PO LEUNG KUK JOCKEY CLUB TAI TONG HOLIDAY CAMP,"31 Tai Tong Shan Road,Yuen Long,New Territories.",保良局賽馬會大棠渡假村,新界元朗大棠山路31號,2478 1332,2442 3869,tt@poleungkuk.org.hk
H/2539,YAT AH GUESTHOUSE,"8/F, Knapwood Commercial Building,253-255 Temple Street,Jordan, Kowloon.",益雅旅館,九龍佐敦廟街253-255號世華商業大廈8字樓,2317 6663,,yat-ah-guesthouse@hotmail.com
H/2540,HARBOUR GRAND KOWLOON,"20 Tak Fung Street,Hung Hom,Kowloon.",九龍海逸君綽酒店,九龍紅磡德豐街20號,2621 3188,2621 3311,hgkln@harbourgrand.com
H/2545,HAPPY LAND GUEST HOUSE,"Flat F3, Block F,6/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",HAPPY LAND GUEST HOUSE,九龍尖沙咀彌敦道58號美麗都大廈F座6字樓F3室,90729146/97994458,,jatraman@yahoo.com
H/2550,WELLYET HOTEL LIMITED,"Flat F3, Block F,14/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",偉溢賓館有限公司,九龍尖沙咀彌敦道58號美麗都大廈F座14字樓F3室,6716 3678,,
H/2561,FORTUNATE GUEST HOUSE,"Flat A2, Block A,11/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",鴻運賓館,九龍尖沙咀彌敦道40號重慶大廈A座11字樓A2室,2366 5900,,fortunate_guesthouse@hotmail.com
H/2565,MAN HING LUNG HOTEL ,"Flat F2, Block F,14/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",萬興隆酒店,九龍尖沙咀彌敦道58號美麗都大廈F座14字樓F2室,2311 8807,2311 6669,mhlhotel6688@gmail.com
H/2575,SING YUET HOSTEL,"Flat I, 10/F, Yuen King Building,26 Sai Yeung Choi Street South,Mong Kok, Kowloon.",昇悅賓館,九龍旺角西洋菜南街26號遠景大廈10字樓I室,2770 1015,2388 5077,
H/2587,THE CITYVIEW,"23 Waterloo Road,Yau Ma Tei,Kowloon.",城景國際,九龍油麻地窩打老道23號,2771 9111/2783 3888,2388 5926/2783 3899,info@thecityview.com.hk
H/2588,BISHOP LEI INTERNATIONAL HOUSE,"4 Robinson Road,Mid-Levels, Hong Kong.",宏基國際賓館,香港半山區羅便臣道4號,2868 0828,2868 1551,blexoff@bishopleihtl.com.hk
H/2592,NEW GARDEN HOTEL,"Flat B, 3/F, Bik Lan House,43 Pitt Street,Yau Ma Tei, Kowloon.",新花園酒店,九龍油麻地碧街43號碧蘭大廈3字樓B室,2332 0147,8147 1991/8169 9739,
H/2594,VICTORIA VILLA,"2/F, Kee Shing Commercial Building,80 Kimberley Road, Tsim Sha Tsui, Kowloon.",VICTORIA VILLA,九龍尖沙咀金巴利道80號奇盛商業大廈2字樓,2736 3688,,
H/2595,WAI WU,"3/F & 4/F, Kee Shing Commercial Building,80 Kimberley Road,Tsim Sha Tsui, Kowloon.",WAI WU,九龍尖沙咀金巴利道80號奇盛商業大廈3&4字樓,2736 3688,,
H/2596,WAI SZE,"5/F & 6/F, Kee Shing Commercial Building,80 Kimberley Road,Tsim Sha Tsui, Kowloon.",WAI SZE,九龍尖沙咀金巴利道80號奇盛商業大廈5&6字樓,2736 3688,,
H/2597,WAI SAM,"7/F & 8/F, Kee Shing Commercial Building,80 Kimberley Road,Tsim Sha Tsui, Kowloon.",WAI SAM,九龍尖沙咀金巴利道80號奇盛商業大廈7&8字樓,2736 3688,,
H/2598,WAI YEE,"9/F & 10/F, Kee Shing Commercial Building,80 Kimberley Road,Tsim Sha Tsui, Kowloon.",WAI YEE,九龍尖沙咀金巴利道80號奇盛商業大廈9&10字樓,2736 3688,,
H/2599,WAI YAT,"11/F & 12/F, Kee Shing Commercial Building,80 Kimberley Road,Tsim Sha Tsui, Kowloon.",WAI YAT,九龍尖沙咀金巴利道80號奇盛商業大廈11&12字樓,2736 3688,,
H/2600,HONG KONG HOSTEL GROUP LIMITED,"Flat F, 4/F, Hoi To Court,275 Gloucester Road,Causeway Bay, Hong Kong.",香港旅館有限公司,香港銅鑼灣告士打道275號海都大廈4字樓F室,2392 6868,2576 7509,hosteltb@yahoo.com.hk
H/2601,PARK EXCELLENT VILLA,"1/F, Yiu Chung Building,368-370A Portland Street,Mong Kok, Kowloon.",百佳酒店,九龍旺角砵蘭街368-370A號耀中大廈1字樓,2390 4827,2381 0870,
H/2606,COSMIC GUEST HOUSE,"Flat A1, 12/F, Block A,Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",宇宙賓館,九龍尖沙咀彌敦道58號美麗都大廈A座12字樓A1室,2369 6669,2311 5260,laucosmicgh@gmail.com
H/2608,STARLINE TRAVEL & TRADING COMPANY,"Flat A1, Block A, 9/F, Kingston Building,2&4 Kingston Street, Causeway Bay, Hong Kong.",星輝旅遊貿易公司,香港銅鑼灣京士頓街2&4號京士頓大廈A座9字樓A1室,2890 4494,2577 8114,
H/2619,NORTH POINT MOTEL,"Flat A, 2/F, Mido Apartments,330-332 King's Road,North Point, Hong Kong.",北角賓館,香港北角英皇道330-332號美都大廈2字樓A室,2571 4238,3109 0695,hitco_ind@hotmail.com
H/2624,GARDEN HOSTEL,"Flat F1, Block F,3/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",GARDEN HOSTEL,九龍尖沙咀彌敦道58號美麗都大廈F座3字樓F1室,2311 1183,2721 2085/3583 2359,gardenhostel1@gmail.com
H/2628,JADE INN,"Flat A, 4/F, Bik Lan House,43 Pitt Street,Yau Ma Tei, Kowloon.",翡翠賓館,九龍油麻地碧街43號碧蘭大樓4字樓A室,2384 0113,2480 4728,avgala123@yahoo.com.hk
H/2629,HOI FU VILLA,"Rear Block,1/F, 250 Castle Peak Road,Cheung Sha Wan, Kowloon.",海富賓館,九龍長沙灣青山道250號1字樓後座,6909 6181,,
H/2630,HOTEL STAGE　,"G/F & 2/F-16/F, 1-5 Chi Wo Street,Yau Ma Tei, Kowloon.",HOTEL STAGE　,九龍油麻地志和街1-5號地下&2-16字樓,3953 2222,3953 2200,
H/2633,LARGOS HOTEL,"30 Nanking Street,Yau Ma Tei, Kowloon.",朗逸酒店,九龍油麻地南京街30號,2783 8233,2783 1318,info@largos.com.hk
H/2634,KAM TIN HOTEL,"Flat A & B, G/F, 2/F & 3/F,6 Kam Tin Shi,Yuen Long, New Territories.",錦田賓館,"新界元朗錦田錦田巿6號地下, 2&3字樓A&B室",2477 8619,,kamtin@foxmail.com
H/2639,LOI LOI GUEST HOUSE,"Flat A2, Block A,5/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",來來旅館,九龍尖沙咀彌敦道58號美麗都大廈A座5字樓A2室,2367 2909,2367 7012,
H/2640,EVERGREEN TRADE,"Flat 2, Block B,9/F, Kingston Building,2&4 Kingston Street, Causeway Bay, Hong Kong.",長榮貿易行,香港銅鑼灣京士頓街2&4號京士頓大廈B座9字樓2室,2882 3723,,
H/2643,康城賓館,"Flat 11, 1/F, Po Shing Mansion,85A Tai Ho Road,Tsuen Wan, New Territories.",康城賓館,新界荃灣大河道85A號寶成樓1字樓11室,3581 0016,,
H/2651,THE GREAT WALL GUEST HOUSE,"Flat D2, Block D,7/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",長城旅館,九龍尖沙咀彌敦道58號美麗都大廈D座7字樓D2室,2722 7966,2312 0252,
H/2655,TWO MACDONNELL ROAD,"G/F-2/F, 8/F-9/F & 11/F-32/F, St. John Tower,2 Macdonnell Road,Mid-Levels, Hong Kong.",麥當勞道貳號,"香港半山區麥當勞道2號聖約翰大樓地下-2字樓, 8-9 & 11-32字樓",2132 2132,2131 1000,
H/2671,NEW OSAKA GUEST HOUSE,"Flat B3, Block B,5/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",新大阪旅館,九龍尖沙咀彌敦道58號美麗都大廈B座5字樓B3室,2312 0256,2312 0252,
H/2672,WING SING HOTEL,"10/F-13/F, 15/F-23/F, 25/F,King Star Commercial Centre,1B Wing Sing Lane, Yau Ma Tei, Kowloon.",永星酒店,九龍油麻地永星里1B號星皇商業中心 10-13字樓、15-23字樓、25字樓,2390 6950,2388 1747,info@wingsinghotel.hk
H/2673,SIENG PHONG GUEST HOUSE,"Flat 906, 9/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",先鋒旅舍,九龍旺角亞皆老街83號先施大廈9字樓906室,2396 5101,,
H/2674,GOLD VILLA,"1/F,23 Stafford Road,Kowloon Tong, Kowloon.",金殿閒休,九龍九龍塘施他佛道23號1字樓,2337 4221,8147 1991/8169 9739,
H/2675,SPIN HOTEL LIMITED,"2/F, Wing Wah Building,22-22A Sai Yeung Choi Street South,Mong Kok, Kowloon.",紅館客棧有限公司,九龍旺角西洋菜南街22-22A號榮華大樓2字樓,2388 6670,2780 7527,paulyyw812@gmail.com
H/2681,康樂賓館,"Flat 8, 1/F, Po Shing Mansion,85A Tai Ho Road,Tsuen Wan, New Territories.",康樂賓館,新界荃灣大河道85A號寶成樓1字樓8室,3581 0016,,
H/2683,祥興賓館,"Flat 1416, 14/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",祥興賓館,九龍旺角亞皆老街83號先施大廈14字樓1416室,2787 5934,2787 5495,1406@ahshanhostel.com
H/2686,MARLBORO INN,"Flat 2, Block C,2/F, Paterson Building,37-47 Paterson Street, Causeway Bay, Hong Kong.",萬寶路賓館,香港銅鑼灣百德新街37-47號百德大廈2字樓C座2室,2882 6161,2576 6904,
H/2692,ELOG INN,"Flat H,4/F, Lucky House,22 Jordan Road, Jordan, Kowloon.",意樂館,九龍佐敦佐敦道22號鴻運大樓4字樓H室,6253 5287,,
H/2693,NEW LUCKY GUEST HOUSE,"Flat H & I, 1/F, New Lucky House,15 Jordan Road, Jordan, Kowloon.",華豐賓館,九龍佐敦佐敦道15號華豐大廈1字樓H & I室,9018 8873,,
H/2694,HOLLYWOOD GUEST HOUSE,"Flat B1, Block B,8/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",荷李活賓館,九龍尖沙咀彌敦道40號重慶大廈B座8字樓B1室,2732 2155,2724 5071,
H/2696,TOKYO HOTEL,"1/F, 240 Sha Tsui Road,Tsuen Wan, New Territories.",東京酒店,新界荃灣沙咀道240號1字樓,2612 2773,,
H/2697,MING DAO HOTEL,"1/F,242-244 Sha Tsui Road,Tsuen Wan, New Territories.",名都酒店,新界荃灣沙咀道242-244號1字樓,2612 2773,,
H/2698,HUNG SING HOTEL,"Flat F & G,2/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",鴻星賓館,九龍旺角彌敦道739號金輪大廈2字樓F&G室,2395 3399,2384 6840,hungsinghotel@hotmail.com
H/2699,SINTA TRAVEL COMPANY,"Flat C, 13/F, Haywood Mansion,57 Paterson Street,Causeway Bay, Hong Kong.",信達旅運公司,香港銅鑼灣百德新街57號海華大廈13字樓C室,2890 2890,2890 6175/2890 2891,sintajlomails@yahoo.com.hk
H/2704,FAIRVIEW ENTERPRISE,"Flat B, 9/F, Fairview Mansion,51 Paterson Street,Causeway Bay, Hong Kong.",華景企業公司,香港銅鑼灣百德新街51號華爾大廈9字樓B室,2890 8133,,jetvanhus@yahoo.com
H/2705,富麗華賓館,"3/F, 37 Dundas Street,Mong Kok, Kowloon.",富麗華賓館,九龍旺角登打士街37號3字樓,2388 9196,,
H/2729,LUCKY HOSTEL,"Flat B, 10/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",星彩旅館,九龍旺角彌敦道739號金輪大廈10字樓B室,2394 9923,,judy_ccy@yahoo.com.hk
H/2732,NEW STYLE GUEST HOUSE,"Flat A & B,4/F, Phoenix Apartments,70 Lee Garden Road, Causeway Bay, Hong Kong.",新時代酒店,香港銅鑼灣利園山道70號鳳鳴大廈4字樓A-B室,2577 5513,,
H/2740,TAK SUM APARTMENT,"Flat C, 5/F, Cheong Kee House,4 Sai Yeung Choi Street South,Mong Kok, Kowloon.",得心賓館,九龍旺角西洋菜南街4號昌記大樓5字樓C室,2385 2876,,
H/2752,EATON HK,"New extension, 9/F-21/F,380 Nathan Road,Yau Ma Tei, Kowloon.",香港逸東酒店,九龍油麻地彌敦道380號New extension 9-21字樓,2782 1818,2782 5563,eshkg.info@eatonhotels.com
H/2753,PAK FLOWER GUEST HOUSE,"Flat A&B, 3/F, Kwok Chai Building,58 Mong Kok Road,Mong Kok, Kowloon.",百花賓館,九龍旺角旺角道58號國際大廈3字樓A&B室,2393 6988,,
H/2754,KAI YAN APARTMENT,"1/F, Kin Wong Mansion, 125 Sai Yee Street,Mong Kok, Kowloon.",佳人別墅,九龍旺角洗衣街125號建煌華廈1字樓,2393 1559,2782 4143,1162724637@qq.com
H/2759,WONG TOA VILLA,"2/F, 28 Argyle Street,Mong Kok, Kowloon.",皇都賓館,九龍旺角亞皆老街28號2字樓,,,
H/2762,NEW STYLE GUEST HOUSE,"Block G & H, 1/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",新時代酒店,香港銅鑼灣利園山道70號鳳鳴大廈1字樓G&H室,2577 5513,,
H/2763,NEW STYLE GUEST HOUSE,"Flat F & G, 1/F, Phoenix Apartments,70 Lee Garden Road,Causeway Bay, Hong Kong.",新時代酒店,香港銅鑼灣利園山道70號鳳鳴大廈1字樓F&G室,2577 5513,,
H/2770,CAPITAL VILLA,"1/F, Kwan Tak Building,241 Sha Tsui Road,Tsuen Wan, New Territories.",皇都小築,新界荃灣沙咀道241號坤德樓1字樓,2439 4242,,
H/2776,FORTUNE INN,"5/F, Wing Wah Building,24 Sai Yeung Choi Street South,Mong Kok, Kowloon.",富華旅舍,九龍旺角西洋菜南街24號榮華大樓5字樓,2771 1117,2783 0702,fortunehotelmongkok@hotmail.com
H/2777,HEI LOY GARDEN,"1/F, Lai Chi Building,42-56 Leighton Road,Causeway Bay, Hong Kong.",喜來園別墅,香港銅鑼灣禮頓道42-56號禮智大廈1字樓,2890 7384,,heiloygarden@gmail.com
H/2780,PARK EXCELLENT VILLA,"3/F, Yiu Chung Building,368-370A Portland Street,Mong Kok, Kowloon.",百佳酒店,九龍旺角砵蘭街368-370A號耀中大廈3字樓,2390 4827,2381 0870,
H/2781,GOLDEN FORTUNE GUESTHOUSE,"Flat A & B, 1/F, Ng Po House,103-109 Sai Yeung Choi Street South,Mong Kok, Kowloon.",金運來賓館,九龍旺角西洋菜南街103-109號五寶大廈1字樓A&B室,,,
H/2785,COSMIC GUEST HOUSE,"Flat F1, 12/F, Block F,Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",宇宙賓館,九龍尖沙咀彌敦道58號美麗都大廈F座12字樓F1室,2369 6669,2311 5260,
H/2787,LUNG TAO KWOK VILLA,"Flat Q, 1/F, Yan On Mansion,357-375 Ngau Tau Kok Road,Kwun Tong, Kowloon.",龍濤閣賓館,九龍觀塘牛頭角道357-375號仁安大廈1字樓Q室,2345 6976,,
H/2792,FU LAI VILLA,"1/F, 31 Ning Po Street,Yau Ma Tei, Kowloon.",富麗別墅,九龍油麻地寧波街31號1字樓,2359 4089,,
H/2793,DADOL HOTEL,"Flat A-H, Block B,1/F, Champagne Court,16 Kimberley Road, Tsim Sha Tsui, Kowloon.",大都酒店,九龍尖沙咀金巴利道16號香檳大廈B座1字樓A-H室,2369 8882,2311 0250,stay@dadol.com.hk
H/2794,KA WUI VILLA,"Front Block 1/F, Hung Tak Building,163 Sai Yee Street,Mong Kok, Kowloon.",嘉湖賓館,九龍旺角洗衣街163 號鴻德大廈前座1字樓,2390 0178,,
H/2797,WAI MING VILLA,"Flat 201, 202, 203, 205, 206, 207, 208,2/F, Lap Tak Building, 209 Lockhart Road,Wan Chai, Hong Kong.",WAI MING VILLA,香港灣仔駱克道209號立德大廈2字樓201、202、203、205、206、207 &208室,2511 1889,,
H/2798,GUAN ZHOU INN,"Flat A & B, 9/F, Kingland Apartments,739 Nathan Road,Mong Kok, Kowloon.",廣州賓館,九龍旺角彌敦道739號金輪大廈9字樓A、B室,2380 7868,2390 4738,858760884@qq.com
H/2801,HELPING HAND CHEUNG MUK TAU HOLIDAY CENTRE FOR THE ELDERLY,"Nin Wah Road,Cheung Muk Tau North,Sai Kung, New Territories.",伸手助人協會樟木頭老人度假中心,新界西貢樟木頭北年華路,2640 8810,2640 7990,holidaycentre@helpinghand.org.hk
H/2803,MAN YUEN HOTEL,"Flat C, 1/F, New Lucky House,15 Jordan Road,Jordan, Kowloon.",萬源賓館,九龍佐敦佐敦道15號華豐大廈1字樓C室,6426 5655,,kayying3@163.com
H/2804,LUEN ON GUEST HOUSE,"Flat E3, Block E,13/F, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",聯安賓館,九龍尖沙咀彌敦道58號美麗都大廈E座13字樓E3室,2368 9921,2778 1776,
